City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Ust-Kulom,RU,61.6864,53.6902,60.69,85,31,3.85,scattered clouds
211,Stornoway,GB,58.2093,-6.3865,53.92,83,75,1.14,broken clouds
212,Goderich,CA,43.7501,-81.7165,74.91,86,83,5.95,broken clouds
213,Olhao,PT,37.0286,-7.8411,81.28,78,0,9.22,clear sky
214,Cidreira,BR,-30.1811,-50.2056,66.76,82,24,6.76,few clouds
215,Dillon,US,34.4166,-79.3712,97.11,50,81,12.59,broken clouds
216,Pevek,RU,69.7008,170.3133,36.34,96,100,5.08,light rain
217,Port Arthur,CN,38.8,121.2667,79.02,92,59,6.76,heavy intensity rain
218,Molina,CL,-35.1167,-71.2833,53.33,58,90,9.22,overcast clouds
219,Mersing,MY,2.4312,103.8405,75.33,92,100,1.99,light rain
220,Cukai,MY,4.25,103.4167,77.0,88,100,7.65,overcast clouds
221,Pine Bluff,US,34.2284,-92.0032,84.33,77,40,3.44,scattered clouds
222,Curaca,BR,-8.9903,-39.9094,81.57,48,98,11.63,overcast clouds
223,Jaten,ID,-7.5772,110.8975,69.64,85,4,6.62,clear sky
224,Oussouye,SN,12.485,-16.5469,78.49,87,100,5.03,moderate rain
225,Ancud,CL,-41.8697,-73.8203,43.23,64,100,4.97,overcast clouds
226,De-Kastri,RU,51.4667,140.7833,58.78,99,100,5.08,overcast clouds
227,Hami,CN,42.8,93.45,88.39,18,86,12.28,overcast clouds
228,Petlawad,IN,23.0,74.8,77.65,92,100,3.2,overcast clouds
229,Channel-Port Aux Basques,CA,47.5702,-59.1367,69.24,86,95,6.02,overcast clouds
230,Voljevac,BA,43.8786,17.6592,66.0,54,0,1.01,clear sky
231,Vao,NC,-22.6667,167.4833,72.0,85,98,17.47,overcast clouds
232,Vangaindrano,MG,-23.35,47.6,65.16,87,50,5.17,scattered clouds
233,Nouadhibou,MR,20.931,-17.0347,71.94,86,100,12.82,overcast clouds
234,Deputatskiy,RU,69.3,139.9,42.13,69,9,0.92,clear sky
235,Zavetnoye,RU,47.1194,43.8903,85.73,29,82,12.57,broken clouds
236,Sao Joao Dos Patos,BR,-6.495,-43.7022,83.43,48,98,8.19,overcast clouds
237,Haukipudas,FI,65.1765,25.3523,60.15,90,99,15.57,overcast clouds
238,Yarmouth,US,41.7057,-70.2286,90.14,78,0,13.8,clear sky
239,Manzanillo,CU,20.3433,-77.1167,90.81,47,100,1.45,overcast clouds
240,Vostok,RU,46.4856,135.8833,60.44,93,100,3.83,overcast clouds
241,Road Town,VG,18.4167,-64.6167,86.04,70,20,14.97,few clouds
242,Bardiyah,LY,31.7561,25.0865,78.89,70,0,8.41,clear sky
243,Leshukonskoye,RU,64.8989,45.7622,60.75,76,86,6.71,overcast clouds
244,Muros,ES,42.7762,-9.0603,71.69,74,99,20.11,overcast clouds
245,Chokurdakh,RU,70.6333,147.9167,44.35,73,100,13.53,overcast clouds
246,Salalah,OM,17.0151,54.0924,78.89,94,100,2.3,light intensity drizzle
247,Kaitangata,NZ,-46.2817,169.8464,50.47,74,100,8.7,light rain
248,Srednekolymsk,RU,67.45,153.6833,48.87,63,26,8.88,scattered clouds
249,Faya,SA,18.3851,42.4509,64.92,66,100,0.81,overcast clouds
250,Chumikan,RU,54.7183,135.315,53.46,99,100,8.1,overcast clouds
251,Katherine,AU,-14.4667,132.2667,71.92,73,67,0.0,broken clouds
252,Balaipungut,ID,1.05,101.2833,73.08,94,100,2.48,moderate rain
253,Abashiri,JP,44.0213,144.2697,60.94,88,100,10.33,overcast clouds
254,Marystown,CA,47.1666,-55.1483,68.63,82,100,10.47,overcast clouds
255,Bandarbeyla,SO,9.4942,50.8122,77.23,79,66,30.24,broken clouds
256,Sobolevo,RU,54.4299,31.8996,66.33,78,60,5.88,broken clouds
257,Povenets,RU,62.8487,34.8262,63.19,74,84,7.9,broken clouds
258,Nizip,TR,37.0097,37.7942,84.33,45,0,6.29,clear sky
259,Alberton,CA,46.8168,-64.0654,81.93,55,32,14.63,scattered clouds
260,Miri,MY,4.4148,114.0089,76.37,91,100,5.84,overcast clouds
261,Cape Coast,GH,5.1053,-1.2466,74.21,76,90,9.57,overcast clouds
262,Karratha,AU,-20.7377,116.8463,62.42,44,2,9.93,clear sky
263,Muriwai Beach,NZ,-36.8167,174.45,48.42,97,2,1.43,clear sky
264,Nara,JP,34.6851,135.8049,80.49,78,41,1.03,scattered clouds
265,Baghdad,IQ,33.3406,44.4009,94.91,21,0,9.22,clear sky
266,Garowe,SO,8.4054,48.4845,81.61,47,43,22.79,scattered clouds
267,Paita,PE,-5.0892,-81.1144,67.84,76,82,16.91,broken clouds
268,Peru,US,40.7537,-86.0689,85.55,77,100,6.91,overcast clouds
269,Te Anau,NZ,-45.4167,167.7167,48.96,82,100,10.94,light rain
